frame.number	frame.time_relative	bthci_acl.chandle	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.cid	btatt.opcode	btatt.handle	btatt.starting_handle	btatt.ending_handle	btatt.group_end_handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	btatt.characteristic_configuration_client	btatt.value	_ws.col.info
46949	18894.790000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e6746520736572656e6f222c2274656d70223a7b2276616c7565223a33352e302c22756e697473223a2243454c53495553227d2c2270726563697050726f62223a31302c2277696e64223a7b227370656564223a7b2276616c7565223a342e363239393630ff303030303030303030352c22756e697473223a224d45544552535f5045525f5345434f4e44227d2c22646972656374696f6e537472696e67223a224e45222c22646972656374696f6e223a34392c22677573745370656564223a7b2276616c7565223a392e37373433362c22756e697473223a224d45544552535f504552	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46950	18894.791000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e75f5345434f4e44227d7d2c2269636f6e223a352c22646577506f696e74223a7b2276616c7565223a31312e3636363636363636363636363636362c22756e697473223a2243454c53495553227d2c227576496e646578223a352e3530332c2272656c617469766548756d6964697479223a32352c226665656c734c696b655465ff6d7065726174757265223a7b2276616c7565223a33352e302c22756e697473223a2243454c53495553227d2c227669736962696c697479223a7b2276616c7565223a32343134302e31362c22756e697473223a224d45544552227d2c227072657373	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46953	18894.797000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e8757265223a7b2276616c7565223a33302e3034353435322c22756e697473223a22494e434845535f4f465f4d455243555259227d2c226169725175616c697479223a302c22636c6f7564436f766572223a33392c226365696c696e67486569676874223a7b2276616c7565223a3939393939392c22756e697473223a22464f4f54227d7d2c7b2265706f63685365636f6e6473223a31373831373934ff3830302c226465736372697074696f6e223a2250726576616c656e74656d656e746520736572656e6f222c2274656d70223a7b2276616c7565223a33352e3535353535353535	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46954	18894.876000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9683000211010486b41303ce62010101010103a70800	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46955	18894.966000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							96c0	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46957	18894.967000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90e93535353535362c22756e697473223a2243454c53495553227d2c2270726563697050726f62223a352c2277696e64223a7b227370656564223a7b2276616c7565223a342e363239393630303030303030303030352c22756e697473223a224d45544552535f5045525f5345434f4e44227d2c22646972656374696f6e537472696e67223a224e45222c22646972656374696f6e223a34392c22677573745370656564223a7b2276616c7565223a392e37373433362c22756eff697473223a224d45544552535f5045525f5345434f4e44227d7d2c2269636f6e223a352c22646577506f	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46958	18894.967000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90ea696e74223a7b2276616c7565223a31312e31313131313131313131313131312c22756e697473223a2243454c53495553227d2c227576496e646578223a332e3530312c2272656c617469766548756d6964697479223a32332c226665656c734c696b6554656d7065726174757265223a7b2276616c7565223a33352e35353535353535353535353535362c22756e697473223a2243454c53495553227d2c227669736962696c697479223a7b2276616c7565223a32343134302e31362c22756e697473223a224d45544552227d2c2270726573739b757265223a7b2276616c7565223a	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46960	18894.969000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46961	18895.056000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9700	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46963	18895.057000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90eb33302e3032383336322c22756e697473223a22494e434845535f4f465f4d455243555259227d2c226169725175616c697479223a302c22636c6f7564436f766572223a33332c226365696c696e67486569676874223a7b2276616c7565223a3939393939392c22756e697473223a22464f4f54227d7d2c7b2265706f63685365636f6e6473223a313738298400	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
