frame.number	frame.time_relative	btatt.opcode	btatt.handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	_ws.col.info
2933	13913.257000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2934	13913.257000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
2935	13913.257000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2937	13913.317000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
2938	13913.317000000	0x12	0x0036		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0036 (Unknown: Unknown)
2939	13913.317000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2940	13913.317000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
2942	13913.407000000	0x13	0x0036		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0036 (Unknown: Unknown)
2943	13913.407000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2944	13913.467000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
2945	13913.467000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2946	13913.467000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
2947	13913.467000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2949	13913.527000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
2950	13913.527000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2951	13913.527000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
7345	14359.984000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7346	14360.076000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7349	14360.614000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7350	14360.615000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7353	14360.706000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7367	14367.276000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7457	14392.294000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7458	14392.384000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
7460	14392.474000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
