FILE att_latest_chandle.tsv
45369 18778.270000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46429 18871.509000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x0030,0x0031  0  
46431 18871.539000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46432 18871.539000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46434 18871.555000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46435 18871.569000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46436 18871.569000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0033  0  
46439 18871.599000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46440 18871.629000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46441 18871.629000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x0032,0x0033  0  
46444 18871.689000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46445 18871.689000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0038  0  
46447 18871.749000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46448 18871.749000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x0035,0x0036  0  
46451 18871.809000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46452 18871.809000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46453 18871.809000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0038  0  
46456 18871.869000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46457 18871.869000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x0037,0x0038  0  
46458 18871.929000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46459 18871.929000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x003d  0  
46461 18871.989000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46462 18871.989000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x003a,0x003b  0  
46464 18872.019000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46465 18872.049000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46466 18872.049000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x003d  0  
46468 18872.109000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46469 18872.109000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x003c,0x003d  0  
46470 18872.169000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x02   0  
46471 18872.169000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x03   0  
46473 18872.229000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x12 0x001f 0x0001 0  
46474 18872.229000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x13 0x001f  0  
46475 18872.230000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1b 0x001e  8 00150a0119000000 ........
46477 18872.289000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x12 0x0009 0x0002 0  
46478 18872.289000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x13 0x0009  0  
46480 18872.290000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46481 18872.349000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x12 0x0022 0x0001 0  
46482 18872.349000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x13 0x0022  0  
46485 18872.569000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x08   0  
46487 18872.619000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x09 0x0003  0  
46490 18872.769000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46494 18873.039000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46500 18873.279000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46566 18873.789000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46570 18874.029000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46635 18874.299000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46638 18874.779000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46642 18875.049000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46644 18875.289000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46647 18875.799000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46711 18876.039000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46724 18876.279000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46727 18876.789000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46729 18877.029000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46733 18877.269000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46736 18877.779000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46738 18878.019000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46742 18878.289000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46745 18878.769000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46747 18879.039000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46751 18879.279000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46755 18879.789000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
