frame.number	frame.time_relative	frame.len	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.length	btatt.opcode	btatt.handle	btatt.value	data.data	_ws.col.info
46850	18890.439000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46851	18890.439000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46855	18890.949000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46856	18890.949000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46857	18891.219000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46858	18891.219000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46859	18891.459000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46860	18891.459000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46864	18891.969000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46865	18891.969000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46866	18892.209000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46867	18892.209000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46871	18892.449000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46872	18892.449000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46883	18892.959000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46884	18892.959000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46893	18893.199000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46894	18893.199000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46902	18893.469000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46903	18893.469000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46919	18893.949000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46920	18893.949000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46923	18894.219000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46924	18894.219000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46929	18894.459000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46930	18894.459000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46959	18894.969000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46960	18894.969000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46967	18895.209000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46968	18895.209000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46973	18895.449000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46974	18895.449000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46985	18895.959000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46986	18895.959000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46989	18896.199000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46990	18896.199000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46993	18896.439000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46994	18896.439000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
