frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
52540	33857.640000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
52565	33859.349000000	0x3e	0x0a	0x0402	d9:30:4d:9f:56:85	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
52578	33859.410000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
52588	33859.828000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
52591	33859.920000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
52603	33860.108000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
52651	33860.612000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
53995	34003.048000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54412	34117.658000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54863	34124.917000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54910	34132.616000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
54929	34132.625000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54935	34133.395000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54937	34133.398000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
54959	34133.420000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54965	34133.786000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54967	34133.789000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
54989	34133.809000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
54995	34134.147000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
