frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
10604	14745.991000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
10608	14746.082000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
10622	14746.266000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
10732	14746.593000000	0x3e	0x0a	0x0404	ec:c4:ef:12:97:54	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10748	14746.654000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
10752	14746.711000000	0x3e	0x03	0x0402		0x00	Rcvd LE Meta (LE Connection Update Complete)
10791	14747.074000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
10801	14747.165000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
10828	14747.348000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
10844	14747.406000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
10907	14747.857000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
10935	14748.696000000	0x3e	0x0a	0x0405	d1:90:9b:35:2e:65	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10948	14748.757000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
10998	14749.176000000	0x3e	0x0c	0x0405		0x00	Rcvd LE Meta (LE PHY Update Complete)
11024	14749.267000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
11038	14749.451000000	0x3e	0x04	0x0405		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
11154	14749.959000000	0x05		0x0405		0x00	Rcvd Disconnect Complete
12056	14798.192000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
12157	14809.801000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
12670	14865.688000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
12871	14877.210000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
14006	14953.476000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14462	15030.726000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
16527	15152.669000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
17217	15168.158000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
18129	15405.947000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
20160	15465.049000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
20601	15500.903000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
21657	15511.625000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
22296	15581.871000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
22308	15583.213000000	0x3e	0x0a	0x0402	f1:64:b3:81:42:59	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
22322	15583.274000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
22331	15583.694000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
22334	15583.785000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
22347	15583.973000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
22393	15584.506000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
22409	15585.525000000	0x3e	0x0a	0x0404	da:62:1f:c9:b8:dd	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
22424	15585.586000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
22434	15586.005000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
22437	15586.097000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
22449	15586.280000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
22570	15586.873000000	0x3e	0x03	0x0404		0x00	Rcvd LE Meta (LE Connection Update Complete)
22603	15587.233000000	0x3e	0x0a	0x0402	c0:26:8e:db:a7:ea	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
22618	15587.324000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
22640	15587.716000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
22658	15587.832000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
22662	15587.924000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
22676	15588.108000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
22721	15588.616000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
23117	15889.948000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
